"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"01-Apr-2020","     6995.55","     6998.40","     6720.45","     6761.95","     1325157333","        30878.17"
"03-Apr-2020","     6831.65","     6831.65","     6619.55","     6638.45","     1629545801","        38659.16"
"07-Apr-2020","     6913.50","     7164.70","     6842.95","     7149.00","     1905877368","        51097.53"
"08-Apr-2020","     7090.40","     7435.50","     7061.35","     7161.45","     2175036885","        56104.14"
"09-Apr-2020","     7335.20","     7454.90","     7298.40","     7441.65","     1903043499","        49966.28"
"13-Apr-2020","     7450.20","     7453.65","     7279.00","     7360.35","     2415416399","        43002.63"
"15-Apr-2020","     7503.00","     7581.60","     7298.55","     7344.35","     2823852623","        62417.61"
"16-Apr-2020","     7297.80","     7453.05","     7268.25","     7412.30","     2106472595","        48229.80"
"17-Apr-2020","     7665.40","     7665.65","     7489.20","     7614.40","     2497502001","        53399.93"
"20-Apr-2020","     7712.20","     7712.40","     7602.10","     7614.60","     2219054607","        46070.79"
"21-Apr-2020","     7436.50","     7446.05","     7346.55","     7395.85","     1882944565","        45190.06"
"22-Apr-2020","     7421.85","     7543.80","     7350.25","     7533.80","     2142369093","        50705.35"
"23-Apr-2020","     7575.55","     7655.60","     7540.40","     7625.30","     2285043159","        46888.44"
"24-Apr-2020","     7519.60","     7599.90","     7485.55","     7493.45","     1939421775","        50977.78"
"27-Apr-2020","     7578.00","     7657.65","     7572.10","     7603.95","     1630332943","        44108.47"
"28-Apr-2020","     7690.55","     7698.55","     7584.85","     7672.45","     1782031657","        46644.07"
"29-Apr-2020","     7702.60","     7828.30","     7692.95","     7797.20","     2061251466","        48475.36"
"30-Apr-2020","     7947.15","     8041.05","     7933.30","     8012.90","     2658018047","        61021.02"
"04-May-2020","     7764.95","     7765.80","     7578.75","     7596.90","     2167488400","        46673.18"
"05-May-2020","     7704.50","     7727.75","     7513.25","     7523.05","     1839701448","        45876.31"
"06-May-2020","     7544.15","     7620.80","     7451.20","     7575.50","     2096198864","        48092.24"
"07-May-2020","     7551.60","     7592.45","     7509.80","     7520.85","     1629284382","        73458.40"
"08-May-2020","     7649.35","     7654.15","     7542.80","     7552.00","     1635029843","        45812.23"
"11-May-2020","     7628.50","     7692.35","     7542.75","     7556.40","     2505750345","        45508.07"
"12-May-2020","     7508.55","     7552.60","     7403.30","     7520.90","     2249675676","        51889.99"
"13-May-2020","     7819.15","     7819.20","     7632.85","     7667.00","     2904380722","        55786.64"
"14-May-2020","     7558.15","     7614.80","     7495.90","     7514.55","     2144455767","        46932.59"
"15-May-2020","     7547.60","     7547.60","     7447.70","     7504.05","     1829354717","        42257.80"
"18-May-2020","     7522.45","     7522.50","     7234.45","     7245.25","     2235846866","        50680.86"
"19-May-2020","     7350.10","     7398.05","     7266.15","     7284.50","     2674472069","        47850.75"
"20-May-2020","     7292.90","     7446.85","     7281.80","     7426.85","     2053411161","        44843.09"
"21-May-2020","     7444.45","     7525.30","     7429.25","     7470.60","     1993003977","        45160.92"
"22-May-2020","     7446.00","     7507.50","     7368.70","     7416.00","     2012105957","        47095.54"
"26-May-2020","     7463.60","     7502.70","     7395.95","     7424.50","     1846214834","        45560.26"
"27-May-2020","     7462.95","     7607.40","     7394.05","     7595.55","     2021180725","        50645.08"
"28-May-2020","     7635.00","     7746.40","     7616.80","     7732.25","     2575437304","        55047.14"
"29-May-2020","     7687.60","     7834.05","     7658.80","     7822.40","     5404237465","        81438.91"
"01-Jun-2020","     7935.70","     8087.00","     7923.70","     8020.10","     2991531089","        61483.40"
"02-Jun-2020","     8068.15","     8147.40","     8030.65","     8137.45","     3195724501","        58798.82"
"03-Jun-2020","     8241.60","     8295.35","     8182.15","     8203.00","     3483800210","        63372.14"
"04-Jun-2020","     8209.00","     8266.95","     8117.20","     8185.90","     3295275673","        59003.15"
"05-Jun-2020","     8243.60","     8319.40","     8206.10","     8299.35","     4518404839","        61740.41"
"08-Jun-2020","     8444.55","     8445.65","     8287.90","     8323.95","     4757123169","        64944.40"
"09-Jun-2020","     8350.30","     8422.15","     8213.60","     8238.10","     4062026406","        61637.89"
"10-Jun-2020","     8260.15","     8314.60","     8224.70","     8293.35","     3271455440","        50858.55"
"11-Jun-2020","     8284.10","     8306.45","     8125.00","     8137.00","     4593850025","        55299.94"
"12-Jun-2020","     7839.80","     8212.80","     7839.15","     8196.40","     3756577636","        58540.58"
"15-Jun-2020","     8171.75","     8196.40","     8030.40","     8086.45","     2907938830","        51689.36"
"16-Jun-2020","     8239.40","     8260.20","     8015.15","     8152.30","     3098568883","        57112.86"
"17-Jun-2020","     8126.30","     8223.95","     8098.00","     8140.45","     2294565569","        49767.21"
"18-Jun-2020","     8130.90","     8297.00","     8117.95","     8283.65","     3027587687","        48535.15"
"19-Jun-2020","     8314.95","     8420.85","     8282.50","     8403.40","     3211337834","        78910.46"
"22-Jun-2020","     8471.90","     8538.75","     8447.95","     8486.45","     3839180399","        66086.36"
"23-Jun-2020","     8527.50","     8629.90","     8488.35","     8621.10","     2834696037","        61306.64"
"24-Jun-2020","     8678.70","     8699.55","     8476.85","     8496.25","     3725013436","        71165.17"
"25-Jun-2020","     8440.75","     8543.55","     8410.15","     8499.90","     3294912797","        65995.57"
"26-Jun-2020","     8572.45","     8595.45","     8515.65","     8559.00","     3182178991","        53698.83"
"29-Jun-2020","     8514.60","     8521.40","     8426.95","     8488.05","     2842439723","        46967.37"
"30-Jun-2020","     8544.70","     8560.30","     8448.55","     8474.80","     2658379272","        47291.97"
"01-Jul-2020","     8493.75","     8567.35","     8466.70","     8554.75","     2168775132","        47307.72"
"02-Jul-2020","     8602.45","     8677.95","     8598.80","     8647.85","     2239635423","        50974.35"
"03-Jul-2020","     8700.85","     8712.90","     8660.65","     8696.25","     2107628036","        46175.24"
"06-Jul-2020","     8782.00","     8843.10","     8761.95","     8815.70","     2347395075","        51466.45"
"07-Jul-2020","     8847.25","     8861.45","     8762.20","     8850.30","     2505957552","        62404.46"
"08-Jul-2020","     8872.05","     8894.05","     8763.55","     8785.00","     3096997669","        63277.83"
"09-Jul-2020","     8823.75","     8867.30","     8808.00","     8851.50","     2300310833","        49941.26"
"10-Jul-2020","     8818.70","     8865.35","     8772.45","     8813.95","     2816580137","        50748.11"
"13-Jul-2020","     8879.55","     8901.30","     8796.55","     8834.20","     2073963572","        49011.89"
"14-Jul-2020","     8799.55","     8802.70","     8655.40","     8693.35","     1953674967","        50027.62"
"15-Jul-2020","     8764.05","     8846.90","     8661.45","     8689.85","     2327779172","        60618.32"
"16-Jul-2020","     8750.60","     8776.05","     8650.60","     8766.60","     2664281047","        59011.86"
"17-Jul-2020","     8783.05","     8915.25","     8781.45","     8895.30","     2616331036","        55956.65"
"20-Jul-2020","     8965.25","     8994.95","     8938.10","     8985.10","     2673796393","        53406.44"
"21-Jul-2020","     9066.15","     9089.20","     9049.45","     9070.60","     2512400599","        63383.59"
"22-Jul-2020","     9119.15","     9123.05","     8988.55","     9046.60","     2483774626","        62817.56"
"23-Jul-2020","     9054.85","     9129.30","     9034.60","     9114.05","     1727173615","        50752.02"
"24-Jul-2020","     9066.65","     9108.20","     9011.50","     9085.95","     2024581094","        59249.66"
"27-Jul-2020","     9112.45","     9112.45","     8995.10","     9024.90","     1664767288","        52995.36"
"28-Jul-2020","     9045.45","     9153.00","     9043.90","     9141.75","     1802104773","        56260.39"
"29-Jul-2020","     9135.50","     9180.70","     9057.90","     9096.10","     2109124615","        58629.68"
"30-Jul-2020","     9136.20","     9163.95","     9013.90","     9031.70","     1999618009","        61249.14"
"31-Jul-2020","     9061.50","     9076.95","     8997.70","     9035.75","     1981775570","        58706.97"
